INFO 2025-03-14 18:31:33,261 autoreload Watching for file changes with StatReloader
INFO 2025-03-14 22:51:21,363 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:10:24,105 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:10:31,143 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:11:09,185 middleware Request GET /admin/login/ from 127.0.0.1
INFO 2025-03-25 05:11:09,255 middleware Response 200
INFO 2025-03-25 05:11:19,275 middleware Request POST /admin/login/ from 127.0.0.1
ERROR 2025-03-25 05:11:19,281 middleware Exception in POST /admin/login/: no such table: auth_user
ERROR 2025-03-25 05:11:19,281 middleware Error processing request: no such table: auth_user
INFO 2025-03-25 05:11:19,282 middleware Response 500
ERROR 2025-03-25 05:11:19,283 log Internal Server Error: /admin/login/
INFO 2025-03-25 05:11:28,592 middleware Request POST /admin/login/ from 127.0.0.1
ERROR 2025-03-25 05:11:28,594 middleware Exception in POST /admin/login/: no such table: auth_user
ERROR 2025-03-25 05:11:28,594 middleware Error processing request: no such table: auth_user
INFO 2025-03-25 05:11:28,595 middleware Response 500
ERROR 2025-03-25 05:11:28,595 log Internal Server Error: /admin/login/
INFO 2025-03-25 05:11:30,044 middleware Request GET /admin/login/ from 127.0.0.1
INFO 2025-03-25 05:11:30,048 middleware Response 200
INFO 2025-03-25 05:11:33,410 middleware Request POST /admin/login/ from 127.0.0.1
ERROR 2025-03-25 05:11:33,412 middleware Exception in POST /admin/login/: no such table: auth_user
ERROR 2025-03-25 05:11:33,412 middleware Error processing request: no such table: auth_user
INFO 2025-03-25 05:11:33,413 middleware Response 500
ERROR 2025-03-25 05:11:33,413 log Internal Server Error: /admin/login/
INFO 2025-03-25 05:11:34,694 middleware Request GET /admin/login/ from 127.0.0.1
INFO 2025-03-25 05:11:34,697 middleware Response 200
INFO 2025-03-25 05:11:40,660 middleware Request POST /admin/login/ from 127.0.0.1
ERROR 2025-03-25 05:11:40,663 middleware Exception in POST /admin/login/: no such table: auth_user
ERROR 2025-03-25 05:11:40,663 middleware Error processing request: no such table: auth_user
INFO 2025-03-25 05:11:40,663 middleware Response 500
ERROR 2025-03-25 05:11:40,664 log Internal Server Error: /admin/login/
INFO 2025-03-25 05:11:42,212 middleware Request GET /admin/login/ from 127.0.0.1
INFO 2025-03-25 05:11:42,216 middleware Response 200
INFO 2025-03-25 05:13:15,164 middleware Request POST /admin/login/ from 127.0.0.1
ERROR 2025-03-25 05:13:15,166 middleware Exception in POST /admin/login/: no such table: auth_user
ERROR 2025-03-25 05:13:15,166 middleware Error processing request: no such table: auth_user
INFO 2025-03-25 05:13:15,167 middleware Response 500
ERROR 2025-03-25 05:13:15,167 log Internal Server Error: /admin/login/
INFO 2025-03-25 05:13:19,619 middleware Request POST /admin/login/ from 127.0.0.1
ERROR 2025-03-25 05:13:19,622 middleware Exception in POST /admin/login/: no such table: auth_user
ERROR 2025-03-25 05:13:19,622 middleware Error processing request: no such table: auth_user
INFO 2025-03-25 05:13:19,623 middleware Response 500
ERROR 2025-03-25 05:13:19,623 log Internal Server Error: /admin/login/
INFO 2025-03-25 05:13:22,360 middleware Request GET /admin/login/ from 127.0.0.1
INFO 2025-03-25 05:13:22,363 middleware Response 200
INFO 2025-03-25 05:13:29,194 middleware Request GET /admin/ from 127.0.0.1
INFO 2025-03-25 05:13:29,195 middleware Response 302
INFO 2025-03-25 05:13:29,203 middleware Request GET /admin/login/ from 127.0.0.1
INFO 2025-03-25 05:13:29,207 middleware Response 200
INFO 2025-03-25 05:13:39,685 middleware Request POST /admin/login/ from 127.0.0.1
ERROR 2025-03-25 05:13:39,687 middleware Exception in POST /admin/login/: no such table: auth_user
ERROR 2025-03-25 05:13:39,688 middleware Error processing request: no such table: auth_user
INFO 2025-03-25 05:13:39,688 middleware Response 500
ERROR 2025-03-25 05:13:39,689 log Internal Server Error: /admin/login/
INFO 2025-03-25 05:13:51,400 middleware Request GET /admin/login/ from 127.0.0.1
INFO 2025-03-25 05:13:51,403 middleware Response 200
INFO 2025-03-25 05:13:55,309 middleware Request POST /admin/login/ from 127.0.0.1
